joke_id,joke,Processed_joke,cluster,sorted_topics,main_topic
22," A duck walks into a pharmacy and asks for a condom. The pharmacist says ""Would you like me to stick that on your bill?"" The duck says:   ""What kind of duck do you think I am!"" ",duck walk pharmacy asks pharmacist say would like bill duck say kind duck think,"[(0, 0.002222245), (1, 0.0023011044), (2, 0.3119902), (3, 0.002652407), (4, 0.0017437518), (5, 0.0017568485), (6, 0.67001337), (7, 0.0026967807), (8, 0.0019960771), (9, 0.0026271832)]","[(6, 0.67001337), (2, 0.3119902), (7, 0.0026967807), (3, 0.002652407), (9, 0.0026271832), (1, 0.0023011044), (0, 0.002222245), (8, 0.0019960771), (5, 0.0017568485), (4, 0.0017437518)]",6
23, Q: What is the Australian word for a boomerang that won't    come back?    A: A stick ,word boomerang won come stick,"[(0, 0.0059670145), (1, 0.006178762), (2, 0.007757367), (3, 0.0071220547), (4, 0.0046821986), (5, 0.004717365), (6, 0.007734165), (7, 0.007241204), (8, 0.005359724), (9, 0.94324017)]","[(9, 0.94324017), (2, 0.007757367), (6, 0.007734165), (7, 0.007241204), (3, 0.0071220547), (1, 0.006178762), (0, 0.0059670145), (8, 0.005359724), (5, 0.004717365), (4, 0.0046821986)]",9
24, What do you get when you run over a parakeet with a lawnmower?   Shredded tweet. ,get run tweet,"[(0, 0.009539127), (1, 0.90786153), (2, 0.012401263), (3, 0.011385625), (4, 0.0074851653), (5, 0.0075413836), (6, 0.012364171), (7, 0.011576102), (8, 0.008568287), (9, 0.01127735)]","[(1, 0.90786153), (2, 0.012401263), (6, 0.012364171), (7, 0.011576102), (3, 0.011385625), (9, 0.01127735), (0, 0.009539127), (8, 0.008568287), (5, 0.0075413836), (4, 0.0074851653)]",1
25," Two kindergarten girls were talking outside: one said, ""You won't believe what I saw on the patio yesterday--a condom!""   The second girl asked, ""What's a patio?"" ",girl talking said won believe saw patio yesterday condom girl asked patio,"[(0, 0.0025823705), (1, 0.0026740092), (2, 0.003357189), (3, 0.003082242), (4, 0.002026335), (5, 0.0020415543), (6, 0.97573), (7, 0.0031338069), (8, 0.0023195508), (9, 0.0030529308)]","[(6, 0.97573), (2, 0.003357189), (7, 0.0031338069), (3, 0.003082242), (9, 0.0030529308), (1, 0.0026740092), (0, 0.0025823705), (8, 0.0023195508), (5, 0.0020415543), (4, 0.002026335)]",6
26," A guy walks into a bar and sits down next to an extremely gorgeous  woman.  The first thing he notices about her though, are her pants.   They were skin-tight, high-waisted and had no obvious mechanism  (zipper, buttons or velcro) for opening them.    After several minutes of puzzling over how she got the pants up over  her hips, he finally worked up the nerve to ask her.  ""Excuse me miss,  but how do you get into your pants?""    ""Well,"" she replied, ""you can start by buying me a drink."" ",guy walk bar sits woman thing notice skin waisted mechanism button velcro opening minute puzzling got hip worked ask excuse miss get start buying drink,"[(0, 0.0012576308), (1, 0.0013022594), (2, 0.9881852), (3, 0.0015010715), (4, 0.000986838), (5, 0.0009942498), (6, 0.0016300823), (7, 0.0015261838), (8, 0.001129636), (9, 0.0014867965)]","[(2, 0.9881852), (6, 0.0016300823), (7, 0.0015261838), (3, 0.0015010715), (9, 0.0014867965), (1, 0.0013022594), (0, 0.0012576308), (8, 0.001129636), (5, 0.0009942498), (4, 0.000986838)]",2
27," Clinton returns from a vacation in Arkansas and walks down  the steps of Air Force One with two pigs under his arms.  At the bottom of the steps, he says  to the honor guardsman, ""These are genuine Arkansas Razor-Back Hogs.  I got this one for Chelsea and this one for Hillary.""     The guardsman replies, ""Nice trade, Sir."" ",clinton return vacation arkansas walk step air force pig arm step say arkansas razor hog got chelsea guardsman reply trade sir,"[(0, 0.0014932933), (1, 0.9855763), (2, 0.0019413434), (3, 0.0017823514), (4, 0.0011717578), (5, 0.0011805585), (6, 0.001935537), (7, 0.0018121694), (8, 0.001341314), (9, 0.0017654016)]","[(1, 0.9855763), (2, 0.0019413434), (6, 0.001935537), (7, 0.0018121694), (3, 0.0017823514), (9, 0.0017654016), (0, 0.0014932933), (8, 0.001341314), (5, 0.0011805585), (4, 0.0011717578)]",1
28," A mechanical, electrical and a software engineer from Microsoft were driving through the desert when the car broke down. The mechanical engineer said ""It seems to be a problem with the fuel injection system, why don't we pop the hood and I'll take a look at it."" To which the electrical engineer replied, ""No I think it's just a loose ground wire, I'll get out and take a look."" Then, the Microsoft engineer jumps in. ""No, no, no. If we just close up all the windows, get out, wait a few minutes, get back in, and then reopen the windows everything will work fine."" ",software engineer microsoft driving desert car broke engineer said seems problem fuel injection system pop hood ll take look engineer replied think ground wire ll get take look engineer jump get wait minute get window everything work fine,"[(0, 0.0008311987), (1, 0.0008606949), (2, 0.001080593), (3, 0.0009920946), (4, 0.0006522252), (5, 0.00065712386), (6, 0.0010773609), (7, 0.99211943), (8, 0.0007466038), (9, 0.00098266)]","[(7, 0.99211943), (2, 0.001080593), (6, 0.0010773609), (3, 0.0009920946), (9, 0.00098266), (1, 0.0008606949), (0, 0.0008311987), (8, 0.0007466038), (5, 0.00065712386), (4, 0.0006522252)]",7
29," An old Scotsmen is sitting with a younger Scottish gentleman and says the boy.  ""Ah, lad look out that window. You see that stone wall there, I built it with me own bare hands, placed every stone meself.  But do they call me MacGregor the wall builder? No!    He Takes a few sips of his beer then says, ""Aye, and look out on that lake and  eye that beautiful pier. I built it meself, laid every board and hammered each nail but do they call me MacGregor the pier builder? No!    He continues...""And lad, you see that road? That too I build with me own bare  hands. Laid every inch of pavement meself, but do they call MacGregor the road builder? No!""  Again he returns to his beer for a few sips, then says,  ""Agh, but you screw one sheep..."" ",scotsman sitting gentleman say ah look see stone wall built hand placed stone call builder take beer say look eye beautiful pier built laid board hammered call macgregor pier builder continues see road build hand laid inch pavement call road builder return beer sip say screw sheep,"[(0, 0.00067316473), (1, 0.00069705286), (2, 0.00087514217), (3, 0.00080346985), (4, 0.0005282191), (5, 0.00053218636), (6, 0.0008725247), (7, 0.0008169116), (8, 0.0006046537), (9, 0.9935967)]","[(9, 0.9935967), (2, 0.00087514217), (6, 0.0008725247), (7, 0.0008169116), (3, 0.00080346985), (1, 0.00069705286), (0, 0.00067316473), (8, 0.0006046537), (5, 0.00053218636), (4, 0.0005282191)]",9
30, Q: What's the difference between a Lawyer and a Plumber?    A: A Plumber works to unclog the system. ,difference lawyer plumber work unclog system,"[(0, 0.005025895), (1, 0.9514549), (2, 0.006533873), (3, 0.005998762), (4, 0.003943721), (5, 0.0039733406), (6, 0.0065143304), (7, 0.006099119), (8, 0.004514387), (9, 0.005941715)]","[(1, 0.9514549), (2, 0.006533873), (6, 0.0065143304), (7, 0.006099119), (3, 0.005998762), (9, 0.005941715), (0, 0.005025895), (8, 0.004514387), (5, 0.0039733406), (4, 0.003943721)]",1
31,"  President Clinton looks up from his desk in the Oval Office to see  one of his aides nervously approach him.     ""What is it?"" exclaims the President.    ""It's this Abortion Bill Mr. President, what do you want to do  about it?"" the aide replies.    ""Just go ahead and pay it."" responds the President.  ",president clinton look desk office see aide approach president abortion bill mr president want aide reply go pay responds president,"[(0, 0.0015667347), (1, 0.0016223324), (2, 0.9852814), (3, 0.001870009), (4, 0.0012293858), (5, 0.0012386193), (6, 0.0020307284), (7, 0.0019012935), (8, 0.001407281), (9, 0.0018522256)]","[(2, 0.9852814), (6, 0.0020307284), (7, 0.0019012935), (3, 0.001870009), (9, 0.0018522256), (1, 0.0016223324), (0, 0.0015667347), (8, 0.001407281), (5, 0.0012386193), (4, 0.0012293858)]",2
32," A man arrives at the gates of heaven. St. Peter asks, ""Religion?""  The man says, ""Methodist."" St. Peter looks down his list, and says,  ""Go to room 24, but be very quiet as you pass room 8.""    Another man arrives at the gates of heaven. ""Religion?"" ""Baptist."" ""Go to room 18, but be very quiet as you pass room 8.""    A third man arrives at the gates. ""Religion?"" ""Jewish."" ""Go to room 11, but be very quiet as you pass room 8.""  The man says, ""I can understand there being different rooms for different religions, but why must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8,  and they think they're the only ones here. ",man arrives heaven st peter asks religion man say methodist st peter look list say go room pas room man arrives religion baptist go room pas room man arrives religion jewish go room pas room man say room religion must quiet room peter tell room think re,"[(0, 0.0006731599), (1, 0.00069704786), (2, 0.0008751359), (3, 0.0008034641), (4, 0.0005282153), (5, 0.0005321825), (6, 0.0008725184), (7, 0.9936178), (8, 0.00060464937), (9, 0.0007958233)]","[(7, 0.9936178), (2, 0.0008751359), (6, 0.0008725184), (3, 0.0008034641), (9, 0.0007958233), (1, 0.00069704786), (0, 0.0006731599), (8, 0.00060464937), (5, 0.0005321825), (4, 0.0005282153)]",7
33," What do you call an American in the finals of the world cup?   ""Hey Beer Man!"" ",world cup hey beer man,"[(0, 0.005967174), (1, 0.006178927), (2, 0.007757575), (3, 0.0071222456), (4, 0.004682324), (5, 0.004717491), (6, 0.0077343723), (7, 0.94342554), (8, 0.0053598676), (9, 0.0070545143)]","[(7, 0.94342554), (2, 0.007757575), (6, 0.0077343723), (3, 0.0071222456), (9, 0.0070545143), (1, 0.006178927), (0, 0.005967174), (8, 0.0053598676), (5, 0.004717491), (4, 0.004682324)]",7
34," Out in the backwoods of some midwestern state, little Johnny arrives at school an hour late.   Teacher: ""Why are you so late, John?""  Johny : ""My big brother got shot in the ass.""  (the teacher corrects his speech)  Teacher: ""Rectum.""  Johnny : ""Wrecked him!? Hell, It damn near killed him!""  ",backwoods state arrives school hour teacher john johny brother got teacher corrects speech johnny wrecked hell damn killed,"[(0, 0.0017375353), (1, 0.001799194), (2, 0.0022588682), (3, 0.0020738717), (4, 0.9827814), (5, 0.0013736497), (6, 0.0022521121), (7, 0.0021085667), (8, 0.0015606984), (9, 0.0020541495)]","[(4, 0.9827814), (2, 0.0022588682), (6, 0.0022521121), (7, 0.0021085667), (3, 0.0020738717), (9, 0.0020541495), (1, 0.001799194), (0, 0.0017375353), (8, 0.0015606984), (5, 0.0013736497)]",4
35," An explorer in the deepest Amazon suddenly finds himself surrounded by a bloodthirsty group of natives. Upon surveying the situation, he says quietly to himself, ""Oh God, I'm screwed.""    The sky darkens and a voice booms out, ""No, you are NOT screwed. Pick up that stone at your feet and bash in the head of the chief standing in front of you.""    So with the stone he bashes the life out of the chief. Standing above the lifeless body, breathing heavily looking at 100 angry natives...    The voice booms out again, ""Okay ..... NOW you're screwed.""  ",explorer amazon find bloodthirsty group surveying situation say god screwed darkens voice boom screwed stone foot bash head chief standing stone life chief standing lifeless body breathing looking voice boom re screwed,"[(0, 0.9904471), (1, 0.001020358), (2, 0.0012810482), (3, 0.0011761329), (4, 0.0007732162), (5, 0.0007790235), (6, 0.0012772166), (7, 0.0011958091), (8, 0.00088510243), (9, 0.0011649481)]","[(0, 0.9904471), (2, 0.0012810482), (6, 0.0012772166), (7, 0.0011958091), (3, 0.0011761329), (9, 0.0011649481), (1, 0.001020358), (8, 0.00088510243), (5, 0.0007790235), (4, 0.0007732162)]",0
36," A guy walks into a bar, orders a beer and says to the bartender, ""Hey, I got this great Polish Joke...""    The barkeep glares at him and says in a warning tone of voice: ""Before you go telling that joke you better know that I'm Polish, both bouncers are Polish and so are most of my customers""   ""Okay"" says the customer,""I'll tell it very slowly.""  ",guy walk bar order beer say bartender hey got joke barkeep glare say warning tone voice go telling joke know bouncer customer okay say customer ll tell,"[(0, 0.0011655925), (1, 0.001206955), (2, 0.0015153188), (3, 0.0013912172), (4, 0.00091461744), (5, 0.00092148676), (6, 0.0015107865), (7, 0.0014144918), (8, 0.0010469648), (9, 0.9889125)]","[(9, 0.9889125), (2, 0.0015153188), (6, 0.0015107865), (7, 0.0014144918), (3, 0.0013912172), (1, 0.001206955), (0, 0.0011655925), (8, 0.0010469648), (5, 0.00092148676), (4, 0.00091461744)]",9
37," A Jewish young man was seeing a psychiatrist for an eating and sleeping disorder.     ""I am so obsessed with my mother... As soon as I go to sleep, I start dreaming, and everyone in my dream turns into my mother. I wake up in such a state, all I can do is go downstairs and eat a piece of toast.""    The psychiatrist replies:    ""What, just one piece of toast, for a big boy like you?"" ",man seeing eating sleeping disorder obsessed go start dreaming everyone dream turn wake state go eat piece psychiatrist reply piece toast boy,"[(0, 0.0014264745), (1, 0.0014770948), (2, 0.0018544763), (3, 0.98644716), (4, 0.0011193265), (5, 0.0011277333), (6, 0.0018489296), (7, 0.0017310822), (8, 0.0012812957), (9, 0.0016864071)]","[(3, 0.98644716), (2, 0.0018544763), (6, 0.0018489296), (7, 0.0017310822), (9, 0.0016864071), (1, 0.0014770948), (0, 0.0014264745), (8, 0.0012812957), (5, 0.0011277333), (4, 0.0011193265)]",3
38," ""May I take your order?"" the waiter asked.    ""Yes, how do you prepare your chickens?""    ""Nothing special sir,"" he replied. ""We just tell them straight out that they're going to die."" ",may take order waiter asked yes prepare chicken nothing sir replied tell re going die,"[(0, 0.0020773904), (1, 0.0021511095), (2, 0.0027006941), (3, 0.0024795127), (4, 0.0016300874), (5, 0.0016423303), (6, 0.98047596), (7, 0.002520994), (8, 0.001865965), (9, 0.0024559333)]","[(6, 0.98047596), (2, 0.0027006941), (7, 0.002520994), (3, 0.0024795127), (9, 0.0024559333), (1, 0.0021511095), (0, 0.0020773904), (8, 0.001865965), (5, 0.0016423303), (4, 0.0016300874)]",6
39, What is the difference between men and women:     A woman wants one man to satisfy her every need.  A man wants every woman to satisfy his one need. ,difference men woman woman want man satisfy need man want woman satisfy need,"[(0, 0.0023887402), (1, 0.0024735078), (2, 0.0031054618), (3, 0.97730476), (4, 0.0018743974), (5, 0.0018884753), (6, 0.0030961735), (7, 0.002898829), (8, 0.0021456273), (9, 0.002824017)]","[(3, 0.97730476), (2, 0.0031054618), (6, 0.0030961735), (7, 0.002898829), (9, 0.002824017), (1, 0.0024735078), (0, 0.0023887402), (8, 0.0021456273), (5, 0.0018884753), (4, 0.0018743974)]",3
